TaxonomyLevel,InstitutionName,DegreeInstitutionName,Total
Academia,Australian National University (ANU),Australian National University,13.0
Academia,Australian National University (ANU),Beijing Normal University,1.0
Academia,Australian National University (ANU),California Institute of Technology,2.0
Academia,Australian National University (ANU),Curtin University,2.0
Academia,Australian National University (ANU),Emory University,1.0
Academia,Australian National University (ANU),Erasmus Universiteit Rotterdam,1.0
Academia,Australian National University (ANU),Imperial College London,1.0
Academia,Australian National University (ANU),Monash University,1.0
Academia,Australian National University (ANU),Rijksuniversiteit Groningen,1.0
Academia,Australian National University (ANU),The University of Otago,1.0
Academia,Australian National University (ANU),The University of Tokyo,1.0
Academia,Australian National University (ANU),The University of Western Australia,1.0
Academia,Australian National University (ANU),Tsinghua University,1.0
Academia,Australian National University (ANU),Universidad Autónoma de Barcelona,1.0
Academia,Australian National University (ANU),Universiteit Leiden,1.0
Academia,Australian National University (ANU),University Of London,1.0
Academia,Australian National University (ANU),University of Cambridge,1.0
Academia,Australian National University (ANU),University of Canberra,1.0
Academia,Australian National University (ANU),University of Canterbury,1.0
Academia,Australian National University (ANU),University of Connecticut,1.0
Academia,Australian National University (ANU),University of Delhi,1.0
Academia,Australian National University (ANU),University of Florida,1.0
Academia,Australian National University (ANU),University of Hong Kong,1.0
Academia,Australian National University (ANU),University of Melbourne,1.0
Academia,Australian National University (ANU),University of Otago,1.0
Academia,Australian National University (ANU),University of Southern California,1.0
Academia,Australian National University (ANU),University of Southern Queensland,1.0
Academia,Australian National University (ANU),University of Sydney,1.0
Academia,Australian National University (ANU),University of Toronto,2.0
Academia,Australian National University (ANU),University of Vienna,1.0
Academia,Australian National University (ANU),Victoria University of Manchester,1.0
Academia,Australian National University (ANU),Victoria University of Wellington,1.0
Academia,Brown University,Brown University,1.0
Academia,Brown University,Duke University,1.0
Academia,Brown University,Harvard University,5.0
Academia,Brown University,Indiana University School of Medicine,1.0
Academia,Brown University,Kanazawa Daigaku,1.0
Academia,Brown University,Leland Stanford Junior University,1.0
Academia,Brown University,Stanford University,1.0
Academia,Brown University,University of California Berkeley,1.0
Academia,Brown University,University of California Los Angeles,1.0
Academia,Brown University,University of Miami School of Medicine,1.0
Academia,Brown University,University of Michigan,1.0
Academia,Brown University,University of North Carolina at Chapel Hill,1.0
Academia,Brown University,University of Waterloo,1.0
Academia,Brown University,Vanderbilt University,1.0
Academia,Brown University,Virginia Commonwealth University,1.0
Academia,Brown University,Wayne State University,1.0
Academia,Brown University,Whitehead Institute for Biomedical Research,1.0
